Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
2,2,2,2,variance,sum_7yr_GP,13469.4914313,12529.2488372
5,2,2,2,variance,sum_7yr_GP,13131.6850386,12529.7171002
8,2,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
10,2,2,2,variance,sum_7yr_GP,13195.1356984,11913.1477967
15,2,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
23,2,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
2,5,2,2,variance,sum_7yr_GP,13469.4914313,12529.2488372
5,5,2,2,variance,sum_7yr_GP,13030.1202231,11912.6303168
8,5,2,2,variance,sum_7yr_GP,12986.7323925,12531.552337
10,5,2,2,variance,sum_7yr_GP,13030.1202231,12530.8225093
15,5,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
23,5,2,2,variance,sum_7yr_GP,12986.393303,12531.552337
2,8,2,2,variance,sum_7yr_GP,13469.4914313,12529.2488372
5,8,2,2,variance,sum_7yr_GP,13030.1202231,11912.6303168
8,8,2,2,variance,sum_7yr_GP,12986.7323925,12531.552337
10,8,2,2,variance,sum_7yr_GP,13030.1202231,12530.8225093
15,8,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
23,8,2,2,variance,sum_7yr_GP,12986.393303,12531.552337
2,10,2,2,variance,sum_7yr_GP,13469.4914313,12529.2488372
5,10,2,2,variance,sum_7yr_GP,13030.1202231,11912.6303168
8,10,2,2,variance,sum_7yr_GP,12986.7323925,12531.552337
10,10,2,2,variance,sum_7yr_GP,13030.1202231,12530.8225093
15,10,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
23,10,2,2,variance,sum_7yr_GP,12986.393303,12531.552337
2,15,2,2,variance,sum_7yr_GP,13469.4914313,12529.2488372
5,15,2,2,variance,sum_7yr_GP,13030.1202231,11912.6303168
8,15,2,2,variance,sum_7yr_GP,12986.7323925,12531.552337
10,15,2,2,variance,sum_7yr_GP,13030.1202231,12530.8225093
15,15,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
23,15,2,2,variance,sum_7yr_GP,12986.393303,12531.552337
2,20,2,2,variance,sum_7yr_GP,13469.4914313,12529.2488372
5,20,2,2,variance,sum_7yr_GP,13030.1202231,11912.6303168
8,20,2,2,variance,sum_7yr_GP,12986.7323925,12531.552337
10,20,2,2,variance,sum_7yr_GP,13030.1202231,12530.8225093
15,20,2,2,variance,sum_7yr_GP,13160.2840132,12530.2304942
23,20,2,2,variance,sum_7yr_GP,12986.393303,12531.552337
2,2,2,8,variance,sum_7yr_GP,13320.9010152,12179.4401945
5,2,2,8,variance,sum_7yr_GP,13168.6186516,12343.7016338
8,2,2,8,variance,sum_7yr_GP,13192.8319369,12529.6916553
10,2,2,8,variance,sum_7yr_GP,13171.6425176,12179.18804
15,2,2,8,variance,sum_7yr_GP,13196.5858627,12179.3301709
23,2,2,8,variance,sum_7yr_GP,13168.7991161,12343.9700537
2,5,2,8,variance,sum_7yr_GP,13239.8548042,12035.3702787
5,5,2,8,variance,sum_7yr_GP,13221.7427638,12343.6285034
8,5,2,8,variance,sum_7yr_GP,13127.1763674,12529.7953551
10,5,2,8,variance,sum_7yr_GP,13183.5292427,12529.6371383
15,5,2,8,variance,sum_7yr_GP,13128.122918,12178.8760968
23,5,2,8,variance,sum_7yr_GP,13063.1328511,12035.5129069
2,8,2,8,variance,sum_7yr_GP,13239.8548042,12035.3702787
5,8,2,8,variance,sum_7yr_GP,13221.7427638,12343.6285034
8,8,2,8,variance,sum_7yr_GP,13127.1763674,12529.7953551
10,8,2,8,variance,sum_7yr_GP,13183.5292427,12529.6371383
15,8,2,8,variance,sum_7yr_GP,13128.122918,12178.8760968
23,8,2,8,variance,sum_7yr_GP,13063.1328511,12035.5129069
2,10,2,8,variance,sum_7yr_GP,13239.8548042,12035.3702787
5,10,2,8,variance,sum_7yr_GP,13221.7427638,12343.6285034
8,10,2,8,variance,sum_7yr_GP,13127.1763674,12529.7953551
10,10,2,8,variance,sum_7yr_GP,13183.5292427,12529.6371383
15,10,2,8,variance,sum_7yr_GP,13128.122918,12178.8760968
23,10,2,8,variance,sum_7yr_GP,13063.1328511,12035.5129069
2,15,2,8,variance,sum_7yr_GP,13239.8548042,12035.3702787
5,15,2,8,variance,sum_7yr_GP,13221.7427638,12343.6285034
8,15,2,8,variance,sum_7yr_GP,13127.1763674,12529.7953551
10,15,2,8,variance,sum_7yr_GP,13183.5292427,12529.6371383
15,15,2,8,variance,sum_7yr_GP,13128.122918,12178.8760968
23,15,2,8,variance,sum_7yr_GP,13063.1328511,12035.5129069
