Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
2,2,2,2,gini,GP_greater_than_0,55.72998430141287,52.879581151832454
5,2,2,2,gini,GP_greater_than_0,58.08477237048666,57.06806282722513
8,2,2,2,gini,GP_greater_than_0,56.514913657770805,56.02094240837696
10,2,2,2,gini,GP_greater_than_0,62.95133437990581,56.02094240837696
15,2,2,2,gini,GP_greater_than_0,62.95133437990581,56.02094240837696
23,2,2,2,gini,GP_greater_than_0,62.95133437990581,56.02094240837696
2,5,2,2,gini,GP_greater_than_0,63.26530612244898,54.973821989528794
5,5,2,2,gini,GP_greater_than_0,68.91679748822605,62.30366492146597
8,5,2,2,gini,GP_greater_than_0,68.28885400313972,54.45026178010471
10,5,2,2,gini,GP_greater_than_0,75.35321821036108,64.92146596858639
15,5,2,2,gini,GP_greater_than_0,74.41130298273156,63.35078534031413
23,5,2,2,gini,GP_greater_than_0,70.80062794348508,57.59162303664922
2,8,2,2,gini,GP_greater_than_0,64.52119309262166,57.06806282722513
5,8,2,2,gini,GP_greater_than_0,84.7723704866562,66.49214659685863
8,8,2,2,gini,GP_greater_than_0,78.33594976452119,60.73298429319372
10,8,2,2,gini,GP_greater_than_0,83.51648351648352,60.20942408376963
15,8,2,2,gini,GP_greater_than_0,85.8712715855573,61.25654450261781
23,8,2,2,gini,GP_greater_than_0,85.08634222919937,61.78010471204188
2,10,2,2,gini,GP_greater_than_0,79.74882260596546,61.25654450261781
5,10,2,2,gini,GP_greater_than_0,90.42386185243329,61.78010471204188
8,10,2,2,gini,GP_greater_than_0,84.14442700156985,63.35078534031413
10,10,2,2,gini,GP_greater_than_0,89.1679748822606,60.20942408376963
15,10,2,2,gini,GP_greater_than_0,93.24960753532181,62.30366492146597
23,10,2,2,gini,GP_greater_than_0,90.89481946624804,65.96858638743456
2,15,2,2,gini,GP_greater_than_0,87.28414442700158,57.06806282722513
5,15,2,2,gini,GP_greater_than_0,95.13343799058084,59.16230366492147
8,15,2,2,gini,GP_greater_than_0,96.23233908948194,65.44502617801047
10,15,2,2,gini,GP_greater_than_0,97.17425431711146,57.59162303664922
15,15,2,2,gini,GP_greater_than_0,97.95918367346938,58.63874345549738
23,15,2,2,gini,GP_greater_than_0,97.64521193092621,57.59162303664922
2,20,2,2,gini,GP_greater_than_0,91.83673469387756,60.73298429319372
5,20,2,2,gini,GP_greater_than_0,96.07535321821035,58.63874345549738
8,20,2,2,gini,GP_greater_than_0,97.64521193092621,60.20942408376963
10,20,2,2,gini,GP_greater_than_0,96.7032967032967,61.25654450261781
15,20,2,2,gini,GP_greater_than_0,97.95918367346938,59.16230366492147
23,20,2,2,gini,GP_greater_than_0,97.8021978021978,62.30366492146597
2,2,2,8,gini,GP_greater_than_0,56.67189952904239,56.02094240837696
5,2,2,8,gini,GP_greater_than_0,63.57927786499214,56.54450261780105
8,2,2,8,gini,GP_greater_than_0,63.26530612244898,57.06806282722513
10,2,2,8,gini,GP_greater_than_0,62.95133437990581,56.02094240837696
15,2,2,8,gini,GP_greater_than_0,62.95133437990581,57.06806282722513
23,2,2,8,gini,GP_greater_than_0,62.95133437990581,56.02094240837696
2,5,2,8,gini,GP_greater_than_0,68.4458398744113,60.20942408376963
5,5,2,8,gini,GP_greater_than_0,74.25431711145997,65.96858638743456
8,5,2,8,gini,GP_greater_than_0,73.15541601255887,57.06806282722513
10,5,2,8,gini,GP_greater_than_0,76.29513343799059,60.73298429319372
15,5,2,8,gini,GP_greater_than_0,76.60910518053376,62.30366492146597
23,5,2,8,gini,GP_greater_than_0,76.138147566719,58.63874345549738
2,8,2,8,gini,GP_greater_than_0,80.53375196232338,60.20942408376963
5,8,2,8,gini,GP_greater_than_0,90.89481946624804,70.68062827225131
8,8,2,8,gini,GP_greater_than_0,88.85400313971743,65.44502617801047
10,8,2,8,gini,GP_greater_than_0,91.20879120879121,62.82722513089005
15,8,2,8,gini,GP_greater_than_0,91.52276295133439,62.82722513089005
23,8,2,8,gini,GP_greater_than_0,92.3076923076923,63.87434554973822
2,10,2,8,gini,GP_greater_than_0,89.48194662480377,59.68586387434554
5,10,2,8,gini,GP_greater_than_0,95.6043956043956,67.5392670157068
8,10,2,8,gini,GP_greater_than_0,94.97645211930926,68.06282722513089
10,10,2,8,gini,GP_greater_than_0,97.64521193092621,63.35078534031413
15,10,2,8,gini,GP_greater_than_0,97.17425431711146,67.01570680628272
23,10,2,8,gini,GP_greater_than_0,96.23233908948194,68.58638743455498
2,15,2,8,gini,GP_greater_than_0,97.48822605965462,61.25654450261781
5,15,2,8,gini,GP_greater_than_0,100.0,66.49214659685863
8,15,2,8,gini,GP_greater_than_0,99.68602825745683,67.5392670157068
10,15,2,8,gini,GP_greater_than_0,100.0,65.44502617801047
15,15,2,8,gini,GP_greater_than_0,100.0,61.25654450261781
23,15,2,8,gini,GP_greater_than_0,100.0,64.3979057591623
2,20,2,8,gini,GP_greater_than_0,98.11616954474097,63.35078534031413
5,20,2,8,gini,GP_greater_than_0,100.0,66.49214659685863
8,20,2,8,gini,GP_greater_than_0,100.0,64.3979057591623
10,20,2,8,gini,GP_greater_than_0,100.0,65.96858638743456
15,20,2,8,gini,GP_greater_than_0,99.68602825745683,63.87434554973822
23,20,2,8,gini,GP_greater_than_0,99.84301412872841,63.35078534031413
2,2,2,16,gini,GP_greater_than_0,58.08477237048666,56.02094240837696
5,2,2,16,gini,GP_greater_than_0,64.05023547880691,57.59162303664922
8,2,2,16,gini,GP_greater_than_0,63.108320251177396,57.06806282722513
10,2,2,16,gini,GP_greater_than_0,63.108320251177396,57.06806282722513
15,2,2,16,gini,GP_greater_than_0,62.95133437990581,57.06806282722513
23,2,2,16,gini,GP_greater_than_0,62.95133437990581,56.02094240837696
2,5,2,16,gini,GP_greater_than_0,69.07378335949764,60.20942408376963
5,5,2,16,gini,GP_greater_than_0,81.63265306122449,63.35078534031413
8,5,2,16,gini,GP_greater_than_0,78.64992150706436,60.73298429319372
10,5,2,16,gini,GP_greater_than_0,79.12087912087912,61.78010471204188
15,5,2,16,gini,GP_greater_than_0,77.39403453689168,63.87434554973822
23,5,2,16,gini,GP_greater_than_0,77.08006279434852,61.78010471204188
2,8,2,16,gini,GP_greater_than_0,82.73155416012558,62.30366492146597
5,8,2,16,gini,GP_greater_than_0,92.4646781789639,68.58638743455498
8,8,2,16,gini,GP_greater_than_0,89.63893249607536,68.58638743455498
10,8,2,16,gini,GP_greater_than_0,92.3076923076923,62.82722513089005
15,8,2,16,gini,GP_greater_than_0,93.4065934065934,66.49214659685863
